neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI,task-based,block,cognitive,neutral,['PNT'],300.0,3T,gradient echo,EPI,3 3 3,SPM8,"['realignment', 'co-registration', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,9518904
fMRI-BOLD,task-based,block,cognitive,neutral,"['navigational', 'non-navigational']",480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['realignment', 'normalization', 'spatial smoothing']",GLM,,,,,,8168467
MRI,,,,,,,3T,MP-RAGE,T1-weighted,1.0,SPM,['eliminate incomplete data'],GLM,,,,,,5547961
fMRI,task-based,event-related,cognitive,,,510.0,3T,gradient echo,EPI,3,SPM8,"['slice timing correction', 'head realignment', 'normalizing images', 'band-pass temporal filtering', 'smoothing']",GLM,,,,,,4512184
fMRI-BOLD,task-based,block,emotional,neutral,"['neutral', 'negative']",240.0,3T,single-shot fast spin echo (HASTE),sagittal,1.46,Matlab,"['slice timing correction', 'motion correction', 'spatial smoothing']",GLM,,,,,,6162493
fMRI-BOLD,task-based,mixed,cognitive,,"['normal', 'slow']",,3T,,EPI,,SPSS,['motion correction'],GLM,,,,,,6357517
MRI,resting-state,,,,,,3T,ASL,3D FSE,1.875,FSL,['motion correction'],permutation testing,,,,,,6145313
fMRI,task-based,block,cognitive,,"['2-back', '0-back']",600.0,3T,gradient echo,EPI,1.875,FSL,['motion correction'],ANOVA,,,,,,6145313
fMRI-BOLD,task-based,block,emotional,neutral,"['panic-related', 'negative', 'neutral']",456.0,1.5T,echo-planar imaging,3D,3,SPM,"['slice-time correction', 'realignment (motion correction)', 'masked normalization']",GLM,,,,,,8639013
fMRI-BOLD,resting-state,,,,,,3T,echo-planar imaging,EPI,1,"SPM, DPABI","['motion correction', 'slice timing correction']",GLM,,,,,,8967369
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['neutral', 'angry']",25.0,3T,multiband echo planar imaging,echo planar imaging (EPI),3,SPM12,"['motion correction', 'high pass filtering', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,9261083
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),,SPM8,"['slice-timing correction', 'realignment for head motion correction', 'spatial normalization', 'smoothing', 'detrending', 'filtering']",GLM,,,,,,4215464
fMRI,connectivity,,cognitive,,,,3T,gradient echo,echo planar imaging (EPI),3.0,FSL,"['motion correction', 'slice timing correction', 'spatial smoothing']",GLM,,,,,,5261811
fMRI-BOLD,resting-state,,,,,600.0,3T,gradient echo,echo planar imaging (EPI),3 3 4.8,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'spatial filtering', 'denoising']",GLM,,,,,,10116577
fMRI-BOLD,task-based,block,cognitive,neutral,"['semantic verbal fluency', 'control condition']",7200.0,3T,gradient echo,echo planar imaging (EPI),3.75,"AFNI, FSL","['motion correction', 'slice timing correction']",GLM,,,,,,5358467
fMRI,resting-state,,,,,510.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice timing correction', 'head motion correction', 'normalization', 'spatial smoothing', 'detrending', 'temporal filtering']",repeated-measure ANOVA,,,,,,7525302
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['switch', 'repeat']",405.0,1.5T,gradient echo,echo planar imaging (EPI),3.5x3.5x4,SPM5,"['slice-timing correction', 'realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,3772880
fMRI-BOLD,task-based,block,cognitive,neutral,"['Respond Naturally', 'Focus on Healthiness', 'Decrease Desire']",,3T,gradient echo,echo planar imaging (EPI),2mm,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,10074768
fMRI,task-based,mixed,cognitive,neutral,"['Familiar', 'Unfamiliar', 'Baseline']",14.0,3T,EPI,EPI,3,SPM,"['realignment', 'slice timing correction', 'normalization', 'spatial smoothing']",GLM,,,,,,5732236
MRI,resting-state,,,,,450.0,1.5T,gradient echo,echo planar imaging (EPI),3.0,SPM8,"['slice timing correction', 'motion correction', 'co-registration', 'segmentation', 'normalization', 'spatial smoothing']",multiple regression,,,,,,4174517
MRI,task-based,mixed,cognitive,neutral,"['MMI scores', 'Big Five personality traits']",,1.5T,spin echo,3D,1.0,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4174517
fMRI,task-based,mixed,cognitive,non-painful,"['Go', 'NoGo']",,,,,,Scan 4.3.2,"['highpass filtering', 'lowpass filtering', 'downsampling', 'removing data from poorly functioning electrodes', 'correcting for artifacts']",neural network,,,,,,7749513
fMRI-BOLD,task-based,block,cognitive,,"['0-back', '2-back']",,3T,echo-planar imaging,EPI,2.8,FSL,"['brain extraction', 'motion correction', 'interleaved slice time correction', 'spatial smoothing', 'intensity normalization', 'high-pass temporal filtering']",GLM,chronic,nonspecific,,medium,,4500611
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['non-amblyopic', 'amblyopic']",805.0,3T,gradient echo,echo planar imaging (EPI),3,SPM8,"['slice timing correction', 'head movement correction']",GLM,,,,,,9479661
Diffusion MRI,,,,,,805.0,3T,EPI,,4,Functool,,,,,,,,9479661
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['right judgment', 'wrong judgment (misjudgment)', 'positive misjudgment', 'negative misjudgment']",158.0,3T,gradient echo,echo planar imaging (EPI),3,SPM8,"['slice timing correction', 'realignment', 'spatial normalization', 'smoothing']",GLM,,,,,,3783387
fMRI-BOLD,task-based,event-related,cognitive,,"['0-back', '1-back']",,3T,gradient echo,echo planar imaging (EPI),3.75 X 3.75 X 5,SPM5,"['reoriented', 'realigned', 'normalized', 'smoothed']",ANOVA,,,,,,3436669
fMRI-BOLD,task-based,block,motor,neutral,"['sequence', 'random']",,3T,gradient echo,echo planar imaging (EPI),3.4,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,5031470
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['neutral faces', 'fearful faces', 'common objects', 'houses', 'scrambled images']",552.0,3T,3D-MPRAGE,EPI,1mm,Brain Voyager QX v2.3,"['3D-motion correction', 'slice scan time correction', 'filtering low frequencies', 're-sampling the voxels to 1mm']",GLM,,,,,,4299957
fMRI-BOLD,resting-state,,,,,500.0,3T,gradient echo,echo planar imaging (EPI),4,FreeSurfer 6.0,"['motion correction', 'slice timing correction', 'nuisance covariates regression', 'spatial normalization', 'band-pass filtering', 'spatial smoothing']",ANOVA,,,,,,8500876
fMRI-BOLD,task-based,block,cognitive,neutral,"['high g', 'low g']",300.0,3T,EPI,EPI,3.75,SPM,"['slice-timing correction', 'realignment', 'undistortion', 'skull-stripped normalization']",GLM,,,,,,2517101
fMRI-BOLD,task-based,block,cognitive,non-painful,"['penile shaft', 'feet']",620.0,7T,multiband EPI,EPI,1.77,SPM,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,7015912
PET,,,,,"['neutral', 'cocaine-cues']",2400.0,,,,,SPM,,GLM,,,,,,2901385
MRI,,,,,,,3T,3D-T1-weighted,3D,0.9,SPM12,"['segmentation', 'normalization', 'smoothing']",GLM,,,,,,7835463
fMRI,task-based,mixed,cognitive,neutral,"['PLD', 'full-light display']",,,,,,GingerALE,,ALE,,,,,,6921539
fMRI-BOLD,task-based,block,motor,non-painful,['sequence learning'],4500.0,3T,gradient echo,echo planar imaging (EPI),,FMRIB Software Library,['standard preprocessing'],GLM,,,,,,3063350
fMRI-BOLD,task-based,block,cognitive,non-painful,"['Go/No-Go', 'Stop', 'Switch']",300.0,3T,echo planar imaging,EPI,3,Brainvoyager QX,"['motion correction', 'co-registration', 'spatial smoothing']",GLM,,,,,,7977301
fMRI,task-based,block,cognitive,neutral,"['ASMR', 'classical music']",300.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice timing correction', 'realignment', 'coregister', 'normalization', 'smoothing']",GLM,,,,,,8669134
fMRI,task-based,mixed,cognitive,neutral,,320.0,3T,turbo field echo,3D,1,SPM8,"['image bias correction', 'tissue classification', 'normalization to MNI space', 'DARTEL normalization', 'smoothing with Gaussian kernel']",GLM,,,,,,5303222
Diffusion MRI,,,,,,695.0,3T,spin echo,echo planar imaging (EPI),1.55,FSL,"['DWI-denoising', 'eddy-current correction', 'slice-to-volume correction', 'outlier detection and replacement']",ANCOVA,,,,,,10586317
MRI,,,,,,,3T,gradient echo,3D,1.5,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,7268035
fMRI-BOLD,task-based,block,emotional,neutral,"['afraid for you', 'afraid for self', 'afraid of you']",253.0,3T,EPI,EPI,3.75,SPM12,"['head-motion estimation and correction', 'slice-timing correction', 'intrasubject registration', 'spatial normalization']",GLM,,,,,,7681174
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['OTHER', 'SELF', 'GAZE']",300.0,,,,,R (version 3.2.2),,mixed effects Flame 1 analysis,,,,,,5714170
fMRI,resting-state,,,,,1800.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,7506052
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['Facial Ugly-Moral Ugly (FUMU)', 'Facial Ugly-Moral Beauty (FUMB)', 'Facial Beauty-Moral Ugly (FBMU)', 'Facial Beauty-Moral Beauty (FBMB)', 'Facial Neutral-Moral Neutral (Neutral)']",2400.0,3T,gradient echo,echo planar imaging (EPI),2x2,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,6374424
Diffusion MRI,,,,,,,1.5T,gradient echo,3D,1.875,SPM5,"['motion correction', 'eddy-current distortions correction', 'brain extraction']",ANCOVA,,,,,,3192037
fMRI-BOLD,task-based,event-related,cognitive,,"['+IDENT', 'IDENT', '+REVISION', 'REVISION']",1867.0,3T,gradient echo,EPI,2.187 2.187 3.58,SPM8,"['slice-time correction', 'motion correction']",GLM,,,,,,4485079
fMRI,task-based,mixed,cognitive,,"['Imagine Fixation', 'Imagine Objects', 'Imagine 2D Grid', 'Imagine 3D Grid', 'Construct Array', 'Construct Scene']",900.0,3T,EPI,EPI,1.5,SPM12,"['bias-correction', 'realignment', 'coregistration', 'spatial smoothing']",PLS,,,,,,6146500
MEG,,mixed,cognitive,,"['angle', 'color', 'dual task']",2700.0,3T,T1-weighted,,1,FSL,['motion correction'],GLM,,,,,,3234082
MRI,,,,,,,3T,T1-weighted,3D,1 1 1,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,11108587
PET,,,,,,,,,3D,,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,11108587
MEG,,,cognitive,,,840.0,,,,,BESA (V 6.1),"['head motion correction', 'signal space separation method with a temporal extension (tSSS)', 'artifact rejection based on fixed-threshold method and visual inspection']",nonparametric permutation testing,,,,,,7052076
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,EPI,2.5,SPM 12,"['slice timing correction', 'motion correction']",GLM,,,,,,7905591
fMRI-BOLD,resting-state,,,,,,3T,,echo planar imaging (EPI),,DPARSF,"['realignment', 'slice timing adjustment', 'co-registration', 'spatial normalization', 'nuisance covariate regression', 'detrending', 'band-pass filtering']","ANOVA, ANCOVA, Spearman's rank correlation, linear regression",,,,,,7439096
fMRI-BOLD,task-based,block,cognitive,neutral,"['sequence', 'random']",2880.0,3T,gradient echo,3D,0.94,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,11130236
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,"AFNI, FSL","['motion correction', 'slice timing correction', 'spatial smoothing']",N-way partial least squares (NPLS),,,,,,8175663
Diffusion MRI,,,,,,,3T,,,2,FSL,"['eddy current correction', 'rigid-body head motion correction']",,,,,,,8175663
EEG,,,cognitive,,,,,,,,"BrainVision Analyzer 2, Brainstorm","['motion correction', 'independent component analyses (ICA) for ocular artifacts']",ANOVA,,,,,,8893203
fMRI-BOLD,resting-state,,,,,600.0,3T,MPRAGE,EPI,1,SPM12,"['motion correction', 'slice timing correction', 'co-registration', 'segmentation', 'normalization']",ANCOVA,null,null,null,null,null,9095465
fMRI-BOLD,task-based,mixed,emotional,neutral,"['emotional', 'neutral']",,3T,gradient echo,echo planar imaging (EPI),2.5,FSL,"['motion correction', 'Gaussian smoothing', 'nuisance regression']",GLM,,,,,,6536850
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['RRa', 'RR', 'Rd', 'Rs']",468.0,1.5T,gradient echo,echo planar imaging (EPI),4x4x4,SPM,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,3059883
fMRI-BOLD,resting-state,,,,,480.0,3T,echo planar imaging,EPI,3x3x3,"SPM8, DPARSF 5.1","['slice timing correction', 'head motion correction', 'skull stripping', 'de-linear drift correction', 'low frequency filtering', 'spatial normalization']",GLM,chronic,,,,,9860458
fMRI,task-based,mixed,cognitive,neutral,"['high calorie', 'low calorie', 'non-food']",1800.0,3T,gradient echo,EPI,4x4x4,SPM8,"['realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,4500585
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),2mm,SPM8,"['motion correction', 'slice timing correction', 'spatial realignment', 'smoothing']",GLM,,,,,,9643675
fMRI,task-based,event-related,cognitive,,,,,,,,,,GLM,,,,,,6812119
fMRI,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3 3 3,DPABI,"['removing the first 10 volumes', 'slice timing', 'correcting for head movements', 'segmentation of T1-weighted images', 'regressing out of 27 nuisance covariates', 'spatial normalization to the MNI template', 'resampling of images into a spatial resolution of 3 3 3 mm', 'spatial smoothening with a Gaussian kernel of 6 mm full-width at half-maximum']",multiple regression,,,,,,7930913
fMRI-BOLD,task-based,block,cognitive,,"['animals', 'vehicles', 'verbs', 'joy', 'fear']",1800.0,3T,SingleShot-EPI,echo planar imaging (EPI),2,SPM12,"['quality assurance', 'slice time correction', 'motion correction', 'normalization', 'smoothing filters']",GLM,,,,,,4748034
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['change', 'no change', 'false alarm']",1800.0,3T,gradient echo,echo planar imaging (EPI),4x4,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,4921464
fMRI,resting-state,,,,,676.0,3T,EPI,EPI,2.8,SPM12,"['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,6402428
fMRI,task-based,mixed,cognitive,neutral,"['0-back', '2-back']",,,,,,AESSDM,,ALE,,,,,,8519858
fMRI,resting-state,,,,,,,,,,SPM,"['discard first 4 volumes', 'slice timing correction', 'realignment', 'co-registration', 'segmentation', 'DARTEL transformation', 'motion correction', 'regression of WM and CSF signals', 'registration to MNI space', 'smoothing', 'temporal filtering']",GLM,,,,,,9524021
MRI,,,,,,,1.5T,gradient echo,3D,1,SPM,['motion correction'],GLM,,,,,,3311825
fMRI-BOLD,resting-state,,,,,321.0,3T,gradient echo,echo planar imaging (EPI),2,SPM8,"['motion correction', 'slice timing correction', 'spatial normalization', 'temporal filtering']",GLM,,,,,,3364220
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['direct gaze', 'averted gaze', 'null']",588.0,3T,gradient echo,echo planar imaging (EPI),3x3,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,4014180
fMRI,task-based,event-related,motor,non-painful,"['Free-L', 'Free-R', 'React-L', 'React-R']",1800.0,3T,gradient echo,EPI,3.6,SPM5,"['slice time correction', 'spatial realignment', 'unwarping', 'spatial normalization', 'interpolation', 'smoothing']",GLM,,,,,,3805688
MRI,,,,,,,1.5T,gradient echo,T1-weighted,1.5,SPM8,"['realignment', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,5422036
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['negative', 'neutral']",960.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['realignment', 'co-registration to the structural image', 'segmentation', 'normalization to the Montreal Neurologic Institute (MNI) standard brain', 'spatial smoothing']",GLM,,,,,,6200838
fMRI,task-based,mixed,cognitive,,,,3T,gradient echo,echo planar imaging (EPI),1.5,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,4785184
fMRI,resting-state,,,,,420.0,3T,EPI,EPI,3.5,SPM,"['slice timing correction', 'realignment', 'co-register', 'spatial normalization', 'spatial smoothing']",GLM,chronic,facial,,moderate to severe,,10232768
fMRI,task-based,mixed,pain,painful,['pain tracking'],1200.0,3T,EPI,EPI,3.5,SPM,"['slice timing correction', 'realignment', 'co-register', 'spatial normalization', 'spatial smoothing']",GLM,chronic,facial,,moderate to severe,,10232768
Diffusion MRI,,,,,,,3T,,,,,,,,,,,,10232768
T1-weighted MRI,,,,,,,3T,,,1,,,,,,,,,10232768
fMRI-BOLD,resting-state,,,,,600.0,1.5T,gradient echo,EPI,3.0,CONN,"['slice timing correction', 'realignment', 'normalization', 'smoothing']",GLM,,,,,,6275176
MRI,,,,,,,3T,,,,SPM8,['brain spatial normalization steps'],GLM,,,,,,4368038
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,echo planar imaging (EPI),3,RESTplus,"['removal of the first 10 time points for steady magnetization and participant adaptation', 'slice timing correction', 'head motion correction', 'spatial normalization to the Montreal Neurological Institute (MNI) space', 'spatial smoothing using an isotropic Gaussian kernel of 6 mm full width at half maximum (FWHM)', 'removal of the linear drift within the time series', 'regressing out the effects of head movement', 'the cerebrospinal fluid (CSF) signal noise', 'the white matter signal noise from the fMRI data', 'band-pass filtering (0.010.08 Hz)']",Granger causality analysis,,,,,,9157645
fMRI,resting-state,,,,,366.0,3T,Echo Planar Imaging,EPI,1.0,SPM8,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,5962703
MRI,,,,,,,,,,,AES-SDM,,meta-analysis,,,,,,5585337
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['small', 'large']",240.0,3T,echo planar imaging (EPI),EPI,3,SPM5,"['motion correction', 'slice timing correction', 'normalization', 'spatial smoothing']",GLM,,,,,,3651960
fMRI,task-based,mixed,cognitive,neutral,"['non-BE', 'BE']",,1.5T,MPRAGE,3D,0.7,SPM12,"['normalization', 'segmentation', 'quality check', 'smoothing']",GLM,,,,,,8468173
fMRI-BOLD,resting-state,,,,,370.0,3T,gradient echo,echo planar imaging (EPI),1.1,"AFNI, FSL","['drop the first 5 volumes', 'slice-timing correction', 'rigid body motion correction', 'remove skull', 'spatial smoothing', 'affine registration to the skull-stripped structural image', 'spatially normalized into MNI152 template', 'intensity normalization']",Pearson correlation,,,,,,6865575
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['removal of the first 10 time points', 'slice timing correction', 'head motion correction', 'coregistration of functional data to the structural T1-weighted image', 'normalization into the Montreal Neurological Institute (MNI) space', 'smoothing', 'removal of nuisance covariate regression']",ANOVA,,,,,,9932596
fMRI-BOLD,resting-state,,,,,640.0,3T,gradient echo,echo planar imaging (EPI),3.31x3.37x3.20,SPM,"['motion correction', 'slice timing correction', 'bandpass filtering']",GLM,,,,,,6345858
MRS,,,,,,642.0,3T,gradient echo,,1,LCModel,,,,,,,,6345858
MRI,,,,,,,1.5T,T1-weighted 3-D Modified Driven Equilibrium Fourier Transform,,1 1 1,SPM8,"['segmentation', 'inter-subject registration', 'spatial normalization']",multiple regression,,,,,,4014105
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['Match', 'Non-Match']",16.0,3T,gradient echo,EPI,3.0,SPM,['motion correction'],GLM,,,,,,4266023
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['carry', 'non-carry']",600.0,1.5T,gradient echo,echo planar imaging (EPI),3.75,SPM8,"['motion correction', 'realignment', 'normalization', 'smoothing']",GLM,,,,,,3002291
fMRI,task-based,block,cognitive,neutral,"['Word', 'False Font']",267.0,3T,EPI,EPI,3,SPM,"['motion correction', 'realigning to the mean image', 'co-registered to the subjects MPRAGE', 'normalized using the same parameters for the MPRAGE image', 'smoothed using a 6 mm x 6 mm x 5.8 mm Gaussian kernel']",ANOVA,,,,,,9234261
EEG,,,,,,,,,,,BESA,['artifact rejection'],,experimental,hand,electrical,medium,short,2607283
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['ambiguous', 'unambiguous']",780.0,3T,MPRAGE,EPI,1,SPM5,"['realignment', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,3030769
fMRI,task-based,mixed,cognitive,neutral,"['visual-only', 'auditory-only', 'audiovisual']",1350.0,3T,gradient echo,echo planar imaging (EPI),5.5,SPM8,"['head motion correction', 'slice timing correction', 'co-registration between the functional scans and the structural scan', 'normalization to an MNI standard brain', 'data-masking to exclude non-brain voxels', 'time series detrending', 'normalization of the time series in each block to zero mean and unit variance']",GLM,,,,,,4725371
Diffusion MRI,,,,,,,3T,echo planar imaging,,2.5,"FSL, SPM12","['motion correction', 'slice timing correction']",GLM,,,,,,6838008
fMRI,resting-state,,,,,370.0,3T,gradient echo,echo planar imaging (EPI),3.44,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,10206063
fNIRS,,block,cognitive,neutral,"['agree', 'disagree']",180.0,,,,,NIRS-SPM,"['baseline drift removal', 'global component removal']",GLM,,,,,,7874076
fMRI-BOLD,resting-state,,,,,380.0,3T,gradient echo,echo planar imaging (EPI),4,SPM5,"['slice timing', 'motion correction', 'spatial normalization', 'smoothing']",GLM,,,,,,4005061
fMRI,task-based,mixed,cognitive,neutral,"['Go', 'Stop']",480.0,1.5T,gradient echo,echo planar imaging (EPI),3mm,SPM8,"['slice-time correction', 'motion correction']",GLM,,,,,,3783488
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['live face', 'mono-colored surface']",360.0,3T,gradient echo,EPI,3.5,SPM12,"['affine realignment', 'reslicing', 'manual coregistration', 'normalization', 'smoothing']",GLM,,,,,,7063116
fMRI-BOLD,task-based,block,motor,,"['ballistic', 'stepwise', 'step-track', 'circle']",,3T,EPI,3D,3.5,SPM,"['slice time correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,3402450
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3 mm,"SPM8, DPARSF","['motion correction', 'slice timing correction', 'spatial normalization', 'smoothening', 'detrended', 'bandpass-filtered']",two-sample t-test,chronic,eye,N/A,N/A,N/A,6664059
MRI,,,,,,,3T,MPRAGE,3D,1,SPM8,"['motion correction', 'VBM', 'DARTEL']",multiple linear regression,,,,,,7158890
fMRI,resting-state,,,,,360.0,,,,,BrainVision Analyzer,"['band pass filtering', 'notch filter', 'independent component analysis', 'artifact cleaning']",NBS,,,,,,6107212
MRI,,,,,,,3T,MP-RAGE,3D,1,SPM8,"['visual inspection', 'manual alignment', 'segmentation into tissue classes', 'normalization', 'modulation', 'smoothing']",ANCOVA,,,,,,4081974
,,,,,,,,,,,,,,,,,,,5909915
fMRI-BOLD,task-based,mixed,pain,painful,"['painful', 'non-painful']",488.0,3T,fast-echo,3D,1.1,SPM12,"['removing the first 10 time points', 'slice timing correction', 'head motion correction', 'normalization of the native space to Montreal Neurological Institute (MNI) space', 'regression of signals from white matter', 'cerebrospinal fluid', 'and 24 head movement parameters', 'linear trend removal in time series from each voxel', 'bandpass filtering (0.01-0.1 Hz)']",GLM,chronic,head,null,null,null,10783996
EEG,,,cognitive,,,1200.0,,,,,SPSS V22.2,"['motion correction', 'artifact rejection']",ANOVA,,,,,,9566834
Diffusion MRI,,,,,,,3T,gradient echo,3D,0.9,FSL,"['eddy current correction', 'brain extraction']",TBSS,,,,,,6598398
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['context-dependent', 'context-independent']",900.0,3T,gradient echo,EPI,3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6803514
fMRI-BOLD,task-based,block,cognitive,neutral,"['distraction', 'interruption', 'passive viewing']",1800.0,3T,gradient echo,EPI,3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6803514
fMRI,task-based,block,motor,non-painful,['median-nerve stimulation'],130.0,3T,gradient echo,EPI,3,FSL,"['motion correction', 'slice-time correction', 'linear trend removal', 'spatial smoothing']",GLM,,,,,,5353703
fMRI,task-based,event-related,pain,painful,"['cold', 'warm', 'TGI']",620.0,3T,gradient echo,echo planar imaging (EPI),2.25x2.25x3.5,SPM8,"['motion correction', 'slice timing correction']",GLM,experimental,calf,thermal,medium,short,3214046
MRI,,,,,,,3T,gradient echo,,1,SPM,"['bias correction', 'segmentation', 'registration']",voxel-based morphometry,chronic,back,,high,long,3940958
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Adult Mind', 'Child Mind', 'Adult Sex', 'Child Sex']",1080.0,3T,gradient echo,echo planar imaging (EPI),3.3,SPM12,"['motion correction', 'slice timing correction', 'normalization to the MNI space', 'smoothing with 6mm FWHM Gaussian Kernel']",GLM,,,,,,7395771
MRI,,,,,,,3T,MPRAGE,T1-weighted,1.0,SPM,"['motion correction', 'normalization', 'segmentation', 'smoothing']",multiple regression,,,,,,3883687
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['authentic', 'play-acted']",2700.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,LIPSIA,"['motion correction', 'slice timing correction']",GLM,,,,,,3965851
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['authentic', 'play-acted']",2700.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,LIPSIA,"['motion correction', 'slice timing correction']",GLM,,,,,,3965851
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['appetizing', 'high-calorie foods']",,3T,,EPI,3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5460048
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['covert generation', 'overt generation', 'overt repetition']",544.0,3T,gradient echo,echo planar imaging (EPI),4,DirectRT,"['motion correction', 'spatial normalization']",GLM,,,,,,3319663
fMRI-BOLD,task-based,block,cognitive,neutral,"['covert generation', 'finger-tapping']",330.0,3T,gradient echo,echo planar imaging (EPI),4,DirectRT,"['motion correction', 'spatial normalization']",GLM,,,,,,3319663
fMRI,task-based,event-related,cognitive,neutral,"['No cue', 'Central cue', 'Local cue']",210.0,,,,,ASA Lab,"['automated rejection of electrical artifacts', 'offline band-pass digital filtering']",ANOVA,,,,,,7695965
MRI,,,,,,,,MPRAGE,,,SPM,"['visual inspection', 'intensity normalization', 'bias field correction', 'tissue classification', 'registration']",GLM,,,,,,7892767
fMRI,resting-state,,,,,,3T,echo planar imaging,EPI,3,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'registration', 'spatial smoothing']",GLM,,,,,,8315277
MRI,,,,,,,3T,fast spoiled gradient recalled,3D,1,SPM8,"['spatial normalization', 'segmentation', 'smoothing']",t-test,,,,,,6375045
fMRI-BOLD,task-based,block,motor,non-painful,['0-back'],182.0,3T,gradient echo,EPI,3.4x3.4x3.2,SPM,"['motion correction', 'skull stripping', 'high-pass filtering']",GLM,,,,,,2893009
EEG,,,,,,,,,,,,"['down-sampling to 256Hz', '0.5Hz high-pass filter', '70Hz low-pass filter', '60Hz notch filter', 'baseline corrected to the average reference', 'independent component analysis (ICA)']",voxel-by-voxel analysis using sLORETA,,,,,,5536405
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['go', 'stop']",240.0,3T,spin echo,echo planar imaging (EPI),4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,2728908
Diffusion MRI,,,,,,,3T,spin echo,echo planar imaging,2x2x2,FSL,"['motion correction', 'eddy current correction']",GLM,,,,,,8963788
MRI,task-based,mixed,cognitive,non-painful,"['single task', 'dual task']",,3T,gradient echo,3D,0.8,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,8963788
